"Easy Tabs","Easy Tabs"
"Add New Tab","Добавить новую вкладку"
"Save Tab","Сохранить вкладку"
"Delete Tab","Удалить вкладку"
"Edit Tab '%1'","Редактировать вкладку ""%1"""
"New Tab","Новая вкладка"
"Tab Information","Информация о вкладке"
Alias,Алиас
"Block Type","Тип блока"
"Please select item(s).","Пожалуйста, выберите пункт (ы)."
"Tab was deleted.","Вкладка была удалена."
"Can't find a tab to delete.","Не могу найти вкладку для удаления."
"Manage Tabs","Управление вкладками"
"This tab no longer exists.","Эта вкладка больше не существует."
"Edit Tab","Редактировать вкладку"
"Manage Easy Tabs","Управление Easy Tabs"
"Tab has been saved.","Вкладка была сохранена."
"Something went wrong while saving the tab.","Что-то пошло не так при сохранении вкладки."
"Delete ""${ $.$data.title }""","Удалить ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Вы уверены, что не хотите удалять запись ""${ $.$data.title }""?"
"An error occured:","Произошла ошибка:"
"Html content","Содержание HTML"
Unset,Отозвать
"Custom Block","Таможенный блок"
"Product Desription","Описание продукта"
"We Also Recommend","Мы также рекомендуем"
"Product's Reviews","Отзывы о товаре"
"Select Block...","Выбрать блок ..."
"Delete items","Удалить элементы"
"Are you sure you wan't to delete selected items?","Вы уверены, что не хотите удалять выбранные элементы?"
"Enable items","Включить элементы"
"Disable items","Отключить предметы"
